Source;Target;Weight
minecraft:green_dye;r_69;-1
r_69;minecraft:green_concrete_powder;8
minecraft:sand;r_70;-4
minecraft:gravel;r_70;-4
minecraft:red_dye;r_70;-1
r_70;minecraft:red_concrete_powder;8
minecraft:sand;r_71;-4
minecraft:gravel;r_71;-4
minecraft:black_dye;r_71;-1
r_71;minecraft:black_concrete_powder;8
minecraft:sand;r_72;-4
minecraft:gravel;r_72;-4
minecraft:bone_meal;r_72;-1
r_72;minecraft:white_concrete_powder;8
minecraft:sand;r_73;-4
minecraft:gravel;r_73;-4
minecraft:lapis_lazuli;r_73;-1
r_73;minecraft:blue_concrete_powder;8
minecraft:sand;r_74;-4
minecraft:gravel;r_74;-4
minecraft:cocoa_beans;r_74;-1
r_74;minecraft:brown_concrete_powder;8
minecraft:sand;r_75;-4
minecraft:gravel;r_75;-4
minecraft:ink_sac;r_75;-1
r_75;minecraft:black_concrete_powder;8
minecraft:nautilus_shell;r_76;-8
minecraft:heart_of_the_sea;r_76;-1
r_76;minecraft:conduit;1
minecraft:dried_kelp;r_77;-9
r_77;minecraft:dried_kelp_block;1
minecraft:oak_log;r_78;-4
r_78;minecraft:oak_wood;3
minecraft:acacia_log;r_79;-4
r_79;minecraft:acacia_wood;3
minecraft:birch_log;r_80;-4
r_80;minecraft:birch_wood;3
minecraft:dark_oak_log;r_81;-4
r_81;minecraft:dark_oak_wood;3
minecraft:jungle_log;r_82;-4
r_82;minecraft:jungle_wood;3
minecraft:spruce_log;r_83;-4
r_83;minecraft:spruce_wood;3
minecraft:crimson_stem;r_84;-4
r_84;minecraft:crimson_hyphae;3
minecraft:warped_stem;r_85;-4
r_85;minecraft:warped_hyphae;3
minecraft:stripped_acacia_log;r_86;-4
r_86;minecraft:stripped_acacia_wood;3
minecraft:stripped_birch_log;r_87;-4
r_87;minecraft:stripped_birch_wood;3
minecraft:stripped_dark_oak_log;r_88;-4
r_88;minecraft:stripped_dark_oak_wood;3
minecraft:stripped_jungle_log;r_89;-4
r_89;minecraft:stripped_jungle_wood;3
minecraft:stripped_oak_log;r_90;-4
r_90;minecraft:stripped_oak_wood;3
minecraft:stripped_spruce_log;r_91;-4
r_91;minecraft:stripped_spruce_wood;3
minecraft:stripped_crimson_stem;r_92;-4
r_92;minecraft:stripped_crimson_hyphae;3
minecraft:stripped_warped_stem;r_93;-4
r_93;minecraft:stripped_warped_hyphae;3
minecraft:emerald;r_94;-9
r_94;minecraft:emerald_block;1
minecraft:coal;r_95;-9
r_95;minecraft:coal_block;1
minecraft:polished_blackstone;r_96;-4
r_96;minecraft:polished_blackstone_bricks;4
minecraft:iron_ingot;r_97;-1
minecraft:iron_nugget;r_97;-2
r_97;minecraft:chain;1
minecraft:netherite_ingot;r_98;-9
r_98;minecraft:netherite_block;1
minecraft:blackstone;r_99;-4
r_99;minecraft:polished_blackstone;4
minecraft:polished_blackstone_slab;r_100;-2
r_100;minecraft:chiseled_polished_blackstone;1
minecraft:gold_ingot;r_101;-9
r_101;minecraft:gold_block;1
minecraft:glass;r_102;-8
minecraft:white_dye;r_102;-1
r_102;minecraft:white_stained_glass;8
minecraft:glass;r_103;-8
minecraft:magenta_dye;r_103;-1
r_103;minecraft:magenta_stained_glass;8
minecraft:glass;r_104;-8
minecraft:light_blue_dye;r_104;-1
r_104;minecraft:light_blue_stained_glass;8
minecraft:glass;r_105;-8
minecraft:yellow_dye;r_105;-1
r_105;minecraft:yellow_stained_glass;8
minecraft:glass;r_106;-8
minecraft:lime_dye;r_106;-1
r_106;minecraft:lime_stained_glass;8
minecraft:glass;r_107;-8
minecraft:pink_dye;r_107;-1
r_107;minecraft:pink_stained_glass;8
minecraft:glass;r_108;-8
minecraft:gray_dye;r_108;-1
r_108;minecraft:gray_stained_glass;8
minecraft:glass;r_109;-8
minecraft:light_gray_dye;r_109;-1
r_109;minecraft:silver_stained_glass;8
minecraft:glass;r_110;-8
minecraft:cyan_dye;r_110;-1
r_110;minecraft:cyan_stained_glass;8
minecraft:glass;r_111;-8
minecraft:purple_dye;r_111;-1
r_111;minecraft:purple_stained_glass;8
minecraft:glass;r_112;-8
minecraft:blue_dye;r_112;-1
r_112;minecraft:blue_stained_glass;8
minecraft:glass;r_113;-8
minecraft:brown_dye;r_113;-1
r_113;minecraft:brown_stained_glass;8
minecraft:glass;r_114;-8
minecraft:green_dye;r_114;-1
r_114;minecraft:green_stained_glass;8
minecraft:glass;r_115;-8
minecraft:red_dye;r_115;-1
r_115;minecraft:red_stained_glass;8
minecraft:glass;r_116;-8
minecraft:black_dye;r_116;-1
r_116;minecraft:black_stained_glass;8
minecraft:glass;r_117;-8
minecraft:orange_dye;r_117;-1
r_117;minecraft:orange_stained_glass;8
r_118;minecraft:jungle_stairs;4
r_119;minecraft:acacia_stairs;4
r_120;minecraft:birch_stairs;4
r_121;minecraft:dark_oak_stairs;4
r_122;minecraft:oak_stairs;4
r_123;minecraft:spruce_stairs;4
r_124;minecraft:crimson_stairs;4
r_125;minecraft:warped_stairs;4
minecraft:stone;r_126;-6
r_126;minecraft:normal_stone_stairs;4
minecraft:cobblestone;r_127;-6
r_127;minecraft:stone_stairs;4
minecraft:mossy_cobblestone;r_128;-6
r_128;minecraft:mossy_cobblestone_stairs;4
minecraft:stonebrick;r_129;-6
r_129;minecraft:stone_brick_stairs;4
minecraft:mossy_stone_bricks;r_130;-6
r_130;minecraft:mossy_stone_brick_stairs;4
minecraft:andesite;r_131;-6
r_131;minecraft:andesite_stairs;4
minecraft:polished_andesite;r_132;-6
r_132;minecraft:polished_andesite_stairs;4
minecraft:diorite;r_133;-6
r_133;minecraft:diorite_stairs;4
minecraft:polished_diorite;r_134;-6
r_134;minecraft:polished_diorite_stairs;4
minecraft:granite;r_135;-6
r_135;minecraft:granite_stairs;4
minecraft:polished_granite;r_136;-6
r_136;minecraft:polished_granite_stairs;4
minecraft:sandstone;r_137;-6
r_137;minecraft:sandstone_stairs;4
minecraft:red_sandstone;r_138;-6
r_138;minecraft:red_sandstone_stairs;4
minecraft:smooth_sandstone;r_139;-6
r_139;minecraft:smooth_sandstone_stairs;4
minecraft:smooth_red_sandstone;r_140;-6
r_140;minecraft:smooth_red_sandstone_stairs;4
minecraft:brick_block;r_141;-6
r_141;minecraft:brick_stairs;4
minecraft:prismarine;r_142;-6
r_142;minecraft:prismarine_stairs;4
minecraft:prismarine_bricks;r_143;-6
r_143;minecraft:prismarine_bricks_stairs;4
minecraft:dark_prismarine;r_144;-6
r_144;minecraft:dark_prismarine_stairs;4
minecraft:nether_bricks;r_145;-6
r_145;minecraft:nether_brick_stairs;4
minecraft:red_nether_brick;r_146;-6
r_146;minecraft:red_nether_brick_stairs;4
minecraft:quartz_block;r_147;-6
r_147;minecraft:quartz_stairs;4
minecraft:chiseled_quartz_block;r_148;-6
r_148;minecraft:quartz_stairs;4
minecraft:quartz_pillar;r_149;-6
r_149;minecraft:quartz_stairs;4
minecraft:smooth_quartz_block;r_150;-6
r_150;minecraft:smooth_quartz_stairs;4
minecraft:purpur_block;r_151;-6
r_151;minecraft:purpur_stairs;4
minecraft:purpur_pillar;r_152;-6
r_152;minecraft:purpur_stairs;4
minecraft:end_stone_bricks;r_153;-6
r_153;minecraft:end_brick_stairs;4
minecraft:blackstone;r_154;-6
r_154;minecraft:blackstone_stairs;4
minecraft:polished_blackstone;r_155;-6
r_155;minecraft:polished_blackstone_stairs;4
minecraft:polished_blackstone_bricks;r_156;-6
r_156;minecraft:polished_blackstone_brick_stairs;4
minecraft:cut_copper;r_157;-6
r_157;minecraft:cut_copper_stairs;4
minecraft:exposed_cut_copper;r_158;-6
r_158;minecraft:exposed_cut_copper_stairs;4
minecraft:weathered_cut_copper;r_159;-6
r_159;minecraft:weathered_cut_copper_stairs;4
minecraft:oxidized_cut_copper;r_160;-6
r_160;minecraft:oxidized_cut_copper_stairs;4
minecraft:waxed_cut_copper;r_161;-6
r_161;minecraft:waxed_cut_copper_stairs;4
minecraft:waxed_exposed_cut_copper;r_162;-6
r_162;minecraft:waxed_exposed_cut_copper_stairs;4
minecraft:waxed_weathered_cut_copper;r_163;-6
r_163;minecraft:waxed_weathered_cut_copper_stairs;4
minecraft:waxed_oxidized_cut_copper;r_164;-6
r_164;minecraft:waxed_oxidized_cut_copper_stairs;4
minecraft:cut_copper_stairs;r_165;-1
minecraft:honeycomb;r_165;-1
r_165;minecraft:waxed_cut_copper_stairs;1
minecraft:exposed_cut_copper_stairs;r_166;-1
minecraft:honeycomb;r_166;-1
r_166;minecraft:waxed_exposed_cut_copper_stairs;1
minecraft:weathered_cut_copper_stairs;r_167;-1
minecraft:honeycomb;r_167;-1
r_167;minecraft:waxed_weathered_cut_copper_stairs;1
minecraft:oxidized_cut_copper_stairs;r_168;-1
minecraft:honeycomb;r_168;-1
r_168;minecraft:waxed_oxidized_cut_copper_stairs;1
minecraft:cobbled_deepslate;r_169;-6
r_169;minecraft:cobbled_deepslate_stairs;4
minecraft:polished_deepslate;r_170;-6
r_170;minecraft:polished_deepslate_stairs;4
minecraft:deepslate_bricks;r_171;-6
r_171;minecraft:deepslate_brick_stairs;4
minecraft:deepslate_tiles;r_172;-6
r_172;minecraft:deepslate_tile_stairs;4
minecraft:brick;r_173;-4
r_173;minecraft:brick_block;1
minecraft:crimson_planks;r_174;-6
minecraft:book;r_174;-3
r_174;minecraft:bookshelf;1
minecraft:acacia_planks;r_175;-6
minecraft:book;r_175;-3
r_175;minecraft:bookshelf;1
minecraft:birch_planks;r_176;-6
minecraft:book;r_176;-3
r_176;minecraft:bookshelf;1
minecraft:dark_oak_planks;r_177;-6
minecraft:book;r_177;-3
r_177;minecraft:bookshelf;1
minecraft:jungle_planks;r_178;-6
minecraft:book;r_178;-3
r_178;minecraft:bookshelf;1
minecraft:oak_planks;r_179;-6
minecraft:book;r_179;-3
r_179;minecraft:bookshelf;1
minecraft:spruce_planks;r_180;-6
minecraft:book;r_180;-3
r_180;minecraft:bookshelf;1
minecraft:warped_planks;r_181;-6
minecraft:book;r_181;-3
r_181;minecraft:bookshelf;1
minecraft:snowball;r_182;-4
r_182;minecraft:snow;1
minecraft:clay_ball;r_183;-4
r_183;minecraft:clay;1
minecraft:torch;r_184;-1
minecraft:carved_pumpkin;r_184;-1
r_184;minecraft:lit_pumpkin;1
minecraft:glowstone_dust;r_185;-4
r_185;minecraft:torch;1
minecraft:lapis_lazuli;r_186;-9
r_186;minecraft:lapis_block;1
minecraft:sand;r_187;-4
r_187;minecraft:sandstone;1
minecraft:red_sand;r_188;-4
r_188;minecraft:red_sandstone;1
minecraft:sandstone;r_189;-4
r_189;minecraft:cut_sandstone;4
minecraft:red_sandstone;r_190;-4
r_190;minecraft:cut_red_sandstone;4
minecraft:sandstone_slab;r_191;-2
r_191;minecraft:chiseled_sandstone;1
minecraft:red_sandstone_slab;r_192;-2
r_192;minecraft:chiseled_red_sandstone;1
minecraft:dark_oak_planks;r_193;-3
r_193;minecraft:dark_oak_slab;6
minecraft:acacia_planks;r_194;-3
r_194;minecraft:acacia_slab;6
minecraft:birch_planks;r_195;-3
r_195;minecraft:birch_slab;6
minecraft:jungle_planks;r_196;-3
r_196;minecraft:jungle_slab;6
minecraft:oak_planks;r_197;-3
r_197;minecraft:oak_slab;6
minecraft:spruce_planks;r_198;-3
r_198;minecraft:spruce_slab;6
minecraft:crimson_planks;r_199;-3
r_199;minecraft:crimson_slab;6
minecraft:warped_planks;r_200;-3
r_200;minecraft:warped_slab;6
minecraft:stone;r_201;-3
r_201;minecraft:stone_slab;6
minecraft:smooth_stone;r_202;-3
r_202;minecraft:smooth_stone_slab;6
minecraft:cobblestone;r_203;-3
r_203;minecraft:cobblestone_slab;6
minecraft:mossy_cobblestone;r_204;-3
r_204;minecraft:mossy_cobblestone_slab;6
minecraft:stonebrick;r_205;-3
r_205;minecraft:stone_brick_slab;6
minecraft:mossy_stone_bricks;r_206;-3
r_206;minecraft:mossy_stone_brick_slab;6
minecraft:andesite;r_207;-3
r_207;minecraft:andesite_slab;6
minecraft:polished_andesite;r_208;-3
r_208;minecraft:polished_andesite_slab;6
minecraft:diorite;r_209;-3
r_209;minecraft:diorite_slab;6
minecraft:polished_diorite;r_210;-3
r_210;minecraft:polished_diorite_slab;6
minecraft:granite;r_211;-3
r_211;minecraft:granite_slab;6
minecraft:polished_granite;r_212;-3
r_212;minecraft:polished_granite_slab;6
minecraft:sandstone;r_213;-3
r_213;minecraft:sandstone_slab;6
minecraft:chiseled_sandstone;r_214;-3
r_214;minecraft:sandstone_slab;6
minecraft:red_sandstone;r_215;-3
r_215;minecraft:red_sandstone_slab;6
minecraft:chiseled_red_sandstone;r_216;-3
r_216;minecraft:red_sandstone_slab;6
minecraft:cut_sandstone;r_217;-3
r_217;minecraft:cut_sandstone_slab;6
minecraft:cut_red_sandstone;r_218;-3
r_218;minecraft:cut_red_sandstone_slab;6
minecraft:smooth_sandstone;r_219;-3
r_219;minecraft:smooth_sandstone_slab;6
minecraft:smooth_red_sandstone;r_220;-3
r_220;minecraft:smooth_red_sandstone_slab;6
minecraft:brick_block;r_221;-3
r_221;minecraft:brick_slab;6
minecraft:prismarine;r_222;-3
r_222;minecraft:prismarine_slab;6
minecraft:prismarine_bricks;r_223;-3
r_223;minecraft:prismarine_brick_slab;6
minecraft:dark_prismarine;r_224;-3
r_224;minecraft:dark_prismarine_slab;6
minecraft:nether_bricks;r_225;-3
r_225;minecraft:nether_brick_slab;6
minecraft:red_nether_brick;r_226;-3
r_226;minecraft:red_nether_brick_slab;6
minecraft:quartz_block;r_227;-3
r_227;minecraft:quartz_slab;6
minecraft:chiseled_quartz_block;r_228;-3
r_228;minecraft:quartz_slab;6
minecraft:quartz_pillar;r_229;-3
r_229;minecraft:quartz_slab;6
minecraft:smooth_quartz_block;r_230;-3
r_230;minecraft:smooth_quartz_slab;6
minecraft:purpur_block;r_231;-3
r_231;minecraft:purpur_slab;6
minecraft:chiseled_purpur_block;r_232;-3
r_232;minecraft:purpur_slab;6
minecraft:purpur_pillar;r_233;-3
r_233;minecraft:purpur_slab;6
minecraft:end_stone_bricks;r_234;-3
r_234;minecraft:end_stone_brick_slab;6
minecraft:blackstone;r_235;-3
r_235;minecraft:blackstone_slab;6
minecraft:polished_blackstone;r_236;-3
r_236;minecraft:polished_blackstone_slab;6
minecraft:polished_blackstone_bricks;r_237;-3
r_237;minecraft:polished_blackstone_brick_slab;6
minecraft:cut_copper;r_238;-3
r_238;minecraft:cut_copper_slab;6
minecraft:exposed_cut_copper;r_239;-3
r_239;minecraft:exposed_cut_copper_slab;6
minecraft:weathered_cut_copper;r_240;-3
r_240;minecraft:weathered_cut_copper_slab;6
minecraft:oxidized_cut_copper;r_241;-3
r_241;minecraft:oxidized_cut_copper_slab;6
minecraft:waxed_cut_copper;r_242;-3
r_242;minecraft:waxed_cut_copper_slab;6
minecraft:waxed_exposed_cut_copper;r_243;-3
r_243;minecraft:waxed_exposed_cut_copper_slab;6
minecraft:waxed_weathered_cut_copper;r_244;-3
r_244;minecraft:waxed_weathered_cut_copper_slab;6
minecraft:waxed_oxidized_cut_copper;r_245;-3
r_245;minecraft:waxed_oxidized_cut_copper_slab;6
minecraft:cut_copper_slab;r_246;-1
minecraft:honeycomb;r_246;-1
r_246;minecraft:waxed_cut_copper_slab;1
minecraft:exposed_cut_copper_slab;r_247;-1
minecraft:honeycomb;r_247;-1
r_247;minecraft:waxed_exposed_cut_copper_slab;1
minecraft:weathered_cut_copper_slab;r_248;-1
minecraft:honeycomb;r_248;-1
r_248;minecraft:waxed_weathered_cut_copper_slab;1
minecraft:oxidized_cut_copper_slab;r_249;-1
minecraft:honeycomb;r_249;-1
r_249;minecraft:waxed_oxidized_cut_copper_slab;1
minecraft:cobbled_deepslate;r_250;-3
r_250;minecraft:cobbled_deepslate_slab;6
minecraft:polished_deepslate;r_251;-3
r_251;minecraft:polished_deepslate_slab;6
minecraft:deepslate_bricks;r_252;-3
r_252;minecraft:deepslate_brick_slab;6
minecraft:deepslate_tiles;r_253;-3
r_253;minecraft:deepslate_tile_slab;6
minecraft:melon_slice;r_254;-9
r_254;minecraft:melon_block;1
minecraft:stone;r_255;-4
r_255;minecraft:stonebrick;4
minecraft:stonebrick;r_256;-1
minecraft:vine;r_256;-1
r_256;minecraft:mossy_stone_bricks;1
minecraft:stonebrick;r_257;-1
minecraft:moss_block;r_257;-1
r_257;minecraft:mossy_stone_bricks;1
minecraft:stone_brick_slab;r_258;-2
r_258;minecraft:chiseled_stone_bricks;1
minecraft:iron_ingot;r_259;-9
r_259;minecraft:iron_block;1
minecraft:glass;r_260;-1
minecraft:amethyst_shard;r_260;-4
r_260;minecraft:tinted_glass;2
minecraft:amethyst_shard;r_261;-4
r_261;minecraft:amethyst_block;1
minecraft:string;r_262;-4
r_262;minecraft:white_wool;1
minecraft:red_wool;r_263;-1
minecraft:orange_dye;r_263;-1
r_263;minecraft:orange_wool;1
minecraft:red_wool;r_264;-1
minecraft:black_dye;r_264;-1
r_264;minecraft:black_wool;1
minecraft:red_wool;r_265;-1
minecraft:green_dye;r_265;-1
r_265;minecraft:green_wool;1
minecraft:red_wool;r_266;-1
minecraft:brown_dye;r_266;-1
r_266;minecraft:brown_wool;1
minecraft:red_wool;r_267;-1
minecraft:blue_dye;r_267;-1
r_267;minecraft:blue_wool;1
minecraft:red_wool;r_268;-1
minecraft:purple_dye;r_268;-1
r_268;minecraft:purple_wool;1
minecraft:red_wool;r_269;-1
minecraft:cyan_dye;r_269;-1
r_269;minecraft:cyan_wool;1
minecraft:red_wool;r_270;-1
minecraft:light_gray_dye;r_270;-1
r_270;minecraft:silver_wool;1
minecraft:red_wool;r_271;-1
minecraft:gray_dye;r_271;-1
r_271;minecraft:gray_wool;1
minecraft:red_wool;r_272;-1
minecraft:pink_dye;r_272;-1
r_272;minecraft:pink_wool;1
minecraft:red_wool;r_273;-1
minecraft:lime_dye;r_273;-1
r_273;minecraft:lime_wool;1
minecraft:red_wool;r_274;-1
minecraft:yellow_dye;r_274;-1
r_274;minecraft:yellow_wool;1
minecraft:red_wool;r_275;-1
minecraft:light_blue_dye;r_275;-1
r_275;minecraft:light_blue_wool;1
minecraft:red_wool;r_276;-1
minecraft:magenta_dye;r_276;-1
r_276;minecraft:magenta_wool;1
minecraft:red_wool;r_277;-1
minecraft:white_dye;r_277;-1
r_277;minecraft:white_wool;1
minecraft:white_wool;r_278;-1
minecraft:orange_dye;r_278;-1
r_278;minecraft:orange_wool;1
minecraft:white_wool;r_279;-1
minecraft:black_dye;r_279;-1
r_279;minecraft:black_wool;1
minecraft:white_wool;r_280;-1
minecraft:green_dye;r_280;-1
r_280;minecraft:green_wool;1
minecraft:white_wool;r_281;-1
minecraft:brown_dye;r_281;-1
r_281;minecraft:brown_wool;1
minecraft:white_wool;r_282;-1
minecraft:blue_dye;r_282;-1
r_282;minecraft:blue_wool;1
minecraft:white_wool;r_283;-1
minecraft:purple_dye;r_283;-1
r_283;minecraft:purple_wool;1
minecraft:white_wool;r_284;-1
minecraft:cyan_dye;r_284;-1
r_284;minecraft:cyan_wool;1
minecraft:white_wool;r_285;-1
minecraft:light_gray_dye;r_285;-1
r_285;minecraft:silver_wool;1
minecraft:white_wool;r_286;-1
minecraft:gray_dye;r_286;-1
r_286;minecraft:gray_wool;1
minecraft:white_wool;r_287;-1
minecraft:pink_dye;r_287;-1
r_287;minecraft:pink_wool;1
minecraft:white_wool;r_288;-1
minecraft:lime_dye;r_288;-1
r_288;minecraft:lime_wool;1
minecraft:white_wool;r_289;-1
minecraft:yellow_dye;r_289;-1
r_289;minecraft:yellow_wool;1
minecraft:white_wool;r_290;-1
minecraft:light_blue_dye;r_290;-1
r_290;minecraft:light_blue_wool;1
minecraft:white_wool;r_291;-1
minecraft:magenta_dye;r_291;-1
r_291;minecraft:magenta_wool;1
minecraft:white_wool;r_292;-1
minecraft:red_dye;r_292;-1
r_292;minecraft:red_wool;1
minecraft:magenta_wool;r_293;-1
minecraft:orange_dye;r_293;-1
r_293;minecraft:orange_wool;1
minecraft:magenta_wool;r_294;-1
minecraft:black_dye;r_294;-1
r_294;minecraft:black_wool;1
minecraft:magenta_wool;r_295;-1
minecraft:green_dye;r_295;-1
r_295;minecraft:green_wool;1
minecraft:magenta_wool;r_296;-1
minecraft:brown_dye;r_296;-1
r_296;minecraft:brown_wool;1
minecraft:magenta_wool;r_297;-1
minecraft:blue_dye;r_297;-1
r_297;minecraft:blue_wool;1
minecraft:magenta_wool;r_298;-1
